college_img,college_name,college_loc,college_course,college_fees,Minority,Open,AllIndia
"https://images.static-collegedunia.com/public/college_data/images/appImage/56517_amity-university1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Amity University, Mumbai","Mumbai, Maharashtra",B.Arch ,"2,10,000",97.62,119.92,157.2
"https://images.static-collegedunia.com/public/college_data/images/appImage/5649_PCA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Pillai's College of Architecture - [PICA], Navi Mumbai","Mumbai, Maharashtra",B.Arch ,"1,30,000",98.81,124.41,137.27
"https://images.static-collegedunia.com/public/college_data/images/appImage/1621405240section1img.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","GS Mandal's Marathwada Institute of Technology - [MIT], Aurangabad","Aurangabad, Maharashtra",B.Arch ,"1,06,000",0,117.84,126.11
"https://images.static-collegedunia.com/public/college_data/images/appImage/5605_JNEC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Jawaharlal Nehru Engineering College - [JNEC], Aurangabad","Aurangabad, Maharashtra",B.Arch ,"1,50,000",66.33,122.21,137.74
"https://images.static-collegedunia.com/public/college_data/images/appImage/25727_SIU_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Symbiosis International University - [SIU], Pune","Pune, Maharashtra",B.Arch ,,0,115.36,125.75
"https://images.static-collegedunia.com/public/college_data/images/appImage/5609_KITS_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Kavikulguru Institute of Technology and Science - [KITS], Nagpur","Nagpur, Maharashtra",B.Arch ,"62,000,",89.37,114.04,148.49
"https://images.static-collegedunia.com/public/college_data/images/appImage/_1450244841phpnYZQJm.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Ajeenkya DY  Patil University - [ADYPU], Pune","Pune, Maharashtra",B.Arch ,"2,00,000",0,133.13,158.58
"https://images.static-collegedunia.com/public/college_data/images/appImage/57415_1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MET Bhujbal Knowledge City, Nashik","Nashik, Maharashtra",B.Arch ,"1,32,000",21.81,141.28,129.69
"https://images.static-collegedunia.com/public/college_data/images/appImage/15520372413993449621274199475192134100611427331473408n.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Chhatrapati Shivaji Maharaj University - [CSMU], Navi Mumbai","Mumbai, Maharashtra",B.Arch ,"1,46,100",0,152.63,134.23
"https://images.static-collegedunia.com/public/college_data/images/appImage/1536219933IGICover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Indira Group of Institute - [IGI], Pune","Pune, Maharashtra",B.Arch ,"1,7,4,1",28.89,134.84,118.61
"https://images.static-collegedunia.com/public/college_data/images/appImage/28528_COET_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","College of Engineering and Technology, Akola","Akola, Maharashtra",B.Arch ,"1,05,000",53.35,120.77,126.54
"https://images.static-collegedunia.com/public/college_data/images/appImage/27990_PRPGEI_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","P.R. Patil Group of Educational Institutes Amravati, Amravati","Amravati, Maharashtra",B.Arch ,"65,500,",0,135.42,145.33
"https://images.static-collegedunia.com/public/college_data/images/appImage/28965_SGITMR_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Sanjay Ghodawat University - [SGU], Kolhapur","Kolhapur, Maharashtra",B.Arch ,"1,55,000",0,128.88,133.06
"https://images.static-collegedunia.com/public/college_data/images/appImage/1487586236cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Hiray Group of Institutes, Mumbai","Mumbai, Maharashtra",B.Arch ,"91,000,",0,130.44,110.02
"https://images.static-collegedunia.com/public/college_data/images/appImage/14858_SSEAKOLA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shri Shivaji Education Society's College of Engineering and Technology - [SSE], Akola","Akola, Maharashtra",B.Arch ,"5,25,000",0,134.41,150.21
"https://images.static-collegedunia.com/public/college_data/images/appImage/5622_COACOD_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MVP Samaj's College of Architecture and Centre for Design, Nashik","Nashik, Maharashtra",B.Arch ,"1,26,000",0,132.19,129.27
"https://images.static-collegedunia.com/public/college_data/images/appImage/1605676675heritageschoolmadhavjoshiassociates2.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Minerva College of Architecture Ambi, Pune","Pune, Maharashtra",B.Arch ,"96,000",0,120.42,124.11
"https://images.static-collegedunia.com/public/college_data/images/appImage/5676_SSSMCOA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shri Siddeshwar Shikshan Mandals College of Architecture, Solapur","Solapur, Maharashtra",B.Arch ,"1,00,000",0,113.53,136.74
"https://images.static-collegedunia.com/public/college_data/images/appImage/5678_SKECM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shri krishna Educational and Cultural Mandals College of Architecture - [SKECM], Jalgaon","Jalgaon, Maharashtra",B.Arch ,"59,000",0,125.86,128.75
"https://images.static-collegedunia.com/public/college_data/images/appImage/25696_DBATU_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. Babasaheb Ambedkar Technological University - [DBATU], Lonere","Lonere, Maharashtra",B.Arch ,,0,111.96,140.49
"https://images.static-collegedunia.com/public/college_data/images/appImage/1607941724Cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MIT Art, Design and Technology University - [MITADT], Pune","Pune, Maharashtra",B.Arch ,"1,70,700",0,137.51,155.58
"https://images.static-collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Vishwakarma University - [VU], Pune","Pune, Maharashtra",B.Arch ,,41.81,131.79,116.84
"https://images.static-collegedunia.com/public/college_data/images/appImage/1543649093SSOU.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Symbiosis Skills & Professional University - [SSPU], Pune","Pune, Maharashtra",B.Arch ,"2,17,000",0,118.11,112.21
"https://images.static-collegedunia.com/public/college_data/images/appImage/1589351586Annotation20200513120241.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Symbiosis School of Planning, Architecture, and Design - [SSPAD], Nagpur","Nagpur, Maharashtra",B.Arch ,"4,20,000",38.89,124.51,125.36
"https://images.static-collegedunia.com/public/college_data/images/appImage/15520372413993449621274199475192134100611427331473408n.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","School of Technology, Chhatrapati Shivaji Maharaj University, Navi Mumbai","Mumbai, Maharashtra",B.Arch ,"1,46,100",55.35,126.11,112.04
"https://images.static-collegedunia.com/public/college_data/images/appImage/1585730682cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Vasantdada Patil Pratishthan's Manohar Phalke College of Architecture - [MPCOA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,10,000",0,135.71,121.13
"https://images.static-collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. J. J. Magdum College of Architecture, Kolhapur","Kolhapur, Maharashtra",B.Arch ,"90,000",0,127.52,156.89
"https://images.static-collegedunia.com/public/college_data/images/appImage/1599557392Annotation20200908145611.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dayanand College of Architecture, Latur","Latur, Maharashtra",B.Arch ,"1,05,000",0,129.52,110.08
"https://images.static-collegedunia.com/public/college_data/images/appImage/1600941902download4.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Solapur Education Society's College of Architecture-[SESCA], Solapur","Solapur, Maharashtra",B.Arch ,"1,10,000",0,103.51,131.98
"https://images.static-collegedunia.com/public/college_data/images/appImage/16017002531.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Sipna School of Planning and Architecture - [SSPA], Amravati","Amravati, Maharashtra",B.Arch ,"1,06,030",0,132.63,102.32
"https://images.static-collegedunia.com/public/college_data/images/appImage/160174526768Untitled2.fw960x400.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Vidya Pratishthan’s Indapur College of Architecture - [VPICOA], Pune","Pune, Maharashtra",B.Arch ,"1,09,602",0,119.36,108.33
"https://images.static-collegedunia.com/public/college_data/images/appImage/1617946001campus9.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil University, Pune","Pune, Maharashtra",B.Arch ,"1,50,000",0,133.61,136.66
"https://images.static-collegedunia.com/public/college_data/images/appImage/1621945966hostel.jpeg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil Agriculture & Technical University, Kolhapur","Kolhapur, Maharashtra",B.Arch ,,97.78,145.66,148.7
